Arabic,English
كان,He was
لا,no
قال,He said
كل,all
عام,general
عمل,a job
آخر,last
يوم,day
أي,any
أول,first
بعض,some
إنسان,human
دولة,nation
قبل,before
أمر,command
عند,when
مثل,like
سنة,year
عربي,Arabic
كثير,a lot
شيء,something
أكثر,more
كبير,big
يمكن,maybe
خلال,during
واحد,one
شكل,appearance
جديد,new
علم,science
رجل,man
جميع,all
بلد,country
اسم,name
يعني,Meaning
دون,without
سبب,a reason
ثاني,second
عالم,world
قول,say
أيضا,also
وجد,Found
وضع,situation
وقت,time
أرض,land
قوة,power
صورة,image
حدث,It happened
موضوع,topic
منطقة,region
الآن,now
قدم,foot
شركة,a company
حياة,life
طريق,road
ظهر,back
حب,love
مدينة,city
كتاب,book
تحت,under
زوج,husband
باب,door
فكرة,an idea
دراسة,study
مال,money
استطاع,He was able
أخ,brother
معنى,meaning
ساعة,hour
سلطة,authority
وجه,face
ضد,against
مركز,center
رأي,opinion
دكتور,doctor
أخير,last
عين,eye
ماء,water
صحيح,correct
فترة,a period
خارج,outside
صلاة,prayers
أتى,came
تعليم,education
أكد,Confirmed
مليون,million
رقم,number
عرب,Arabs
لغة,language
نقل,transfer
جزء,part
ثالث,third
سوق,market
ماضي,past
مادة,material
صوت,voice
حرك,Move
سعر,price
صغير,small
شعر,hair
ولد,child
خط,line
وقع,fell
نساء,women
حصل,He got
أفضل,better
صدر,Issued
استخدام,Use
صفحة,page
رسالة,message
قوي,strong
رأس,head
مدرسة,school
نهاية,end
سمع,hearing
فهم,to understand
خمسة,five
قصة,story
